fecha,UVA
2016-03-31,14.05
2016-04-01,14.05
2016-04-02,14.06
2016-04-03,14.06
2016-04-04,14.06
2016-04-05,14.1
2016-04-06,14.11
2016-04-07,14.12
2016-04-08,14.14
2016-04-09,14.15
2016-04-10,14.15
2016-04-11,14.15
2016-04-12,14.18
2016-04-13,14.2
2016-04-14,14.21
2016-04-15,14.22
2016-04-16,14.23
2016-04-17,14.23
2016-04-18,14.23
2016-04-19,14.27
2016-04-20,14.28
2016-04-21,14.29
2016-04-22,14.31
2016-04-23,14.32
2016-04-24,14.32
2016-04-25,14.32
2016-04-26,14.36
2016-04-27,14.37
2016-04-28,14.38
2016-04-29,14.4
2016-04-30,14.41
2016-05-01,14.41
2016-05-02,14.41
2016-05-03,14.46
2016-05-04,14.47
2016-05-05,14.48
2016-05-06,14.5
2016-05-07,14.51
2016-05-08,14.51
2016-05-09,14.51
2016-05-10,14.55
2016-05-11,14.57
2016-05-12,14.58
2016-05-13,14.6
2016-05-14,14.61
2016-05-15,14.61
2016-05-16,14.61
2016-05-17,14.65
2016-05-18,14.67
2016-05-19,14.68
2016-05-20,14.7
2016-05-21,14.71
2016-05-22,14.71
2016-05-23,14.71
2016-05-24,14.75
2016-05-25,14.77
2016-05-26,14.77
2016-05-27,14.8
2016-05-28,14.82
2016-05-29,14.82
2016-05-30,14.82
2016-05-31,14.86
2016-06-01,14.88
2016-06-02,14.9
2016-06-03,14.91
2016-06-04,14.93
2016-06-05,14.93
2016-06-06,14.93
2016-06-07,14.98
2016-06-08,14.99
2016-06-09,15.01
2016-06-10,15.02
2016-06-11,15.04
2016-06-12,15.04
2016-06-13,15.04
2016-06-14,15.09
2016-06-15,15.11
2016-06-16,15.12
2016-06-17,15.14
2016-06-18,15.14
2016-06-19,15.14
2016-06-20,15.14
2016-06-21,15.14
2016-06-22,15.22
2016-06-23,15.24
2016-06-24,15.25
2016-06-25,15.27
2016-06-26,15.27
2016-06-27,15.27
2016-06-28,15.33
2016-06-29,15.35
2016-06-30,15.37
2016-07-01,15.39
2016-07-02,15.41
2016-07-03,15.41
2016-07-04,15.41
